id,puzzle,solution,clues,difficulty
40,..8.4...........9.7.15..8..4....263..9.1....5.5..3.98.........3..92........7...1.,928346157564871392731529846487952631693184725152637984216498573379215468845763219,23,4.2
41,1.5....9...6.13.....4.....7....2..3...9.5..8.3.....7.94..6..........52.8.7..3.6..,185764392796213845234598167847921536629357481351486729418672953963145278572839614,24,5.2
42,.8.....35....9...4..18.3.9.3..21......794.2...4.....8..1.6..5.....1....86.9....4.,982461735536792814471853692398215476167948253245376189814639527753124968629587341,26,4.2
43,3......8...81.6.7......2..92....98.4.6.......9..4....7...2.1.3..5....4...3.7...61,327945186498136275516872349273619854164587923985423617649251738751368492832794561,25,4.5
44,...1...95.7..4....3.....1..7....2..8..231.......5....6.97..6.........5..2......84,426183795571249863389765142754692318962318457138574926897456231643821579215937684,22,5.2
45,..24...6..36.....7847.6.....6...8..4.1...492...8.2.....2..86........3..19..1.....,192475863536812497847369215269738154713654928458921376321586749674293581985147632,26,4.5
46,7..6...82.5..1........3.......8.3..7..2745.3.......9...47...6...2....3.45......9.,731659482259418763684237519465893127192745836873126945347982651928561374516374298,24,4.4
47,.1...6.5.8........34...9..........732..8..4.576...4....2.9.......5..1.8.4....5..2,917426358856713249342589716584192673231867495769354821123948567675231984498675132,24,4.9
48,..594..3.....5...2.......1...7.6.3.8.8.....9..4...92.....38....8......4..965...8.,125947836468153972379628514917462358682735491543819267754381629831296745296574183,24,5.4
49,4....1.52.3..........6.841....4..5..8.7..6.......2.6...4...3....8..9...7.2986....,476931852138542769592678413263489571857316294914725638741253986685194327329867145,25,4.3
50,9.7....3..5....7.4....5...85.37.4.1.4.1.....78...2.......3.....7..91.....4....69.,967482531258139764314657928523794816491863257876521349689345172732916485145278693,25,4.1
51,.....61..8..5.....94.......7...413.66...9...54......2...8.6..32..7..8......37..5.,275436198836519274941827563759241386682793415413685927598164732327958641164372859,25,4.1
52,5......3...8..9.2....57.98..24.....9....3.45....6.1...9.5.1.....4....2........59.,596128734478369125231574986124857369867932451359641872985213647643795218712486593,24,4.9
53,7..3..85.1....5....3..4.1.9...1.24...7.....6.2.4.7.....6.2..3.4..8.3.........1...,742319856196825743835746129689152437371984265254673981567298314418537692923461578,25,5.1
54,.7..21.....5.93.4.........5149.............5..387..1.6...2.7...8..........6935..8,974521863625893741381476295149652387762318954538749126453287619897164532216935478,25,4.2
55,.....2....689.4.72.3.6.5..1......14....1......7..3...68........9.75...2..26.....8,741382965568914372239675481395826147684157239172439856853261794917548623426793518,25,4.2
56,...5...63......9.......7..29.48..6...2...9.78.6.........728..49..2......18.37.5..,248591763713628954596437812974852631325169478861743295637285149452916387189374526,26,4.2
57,3.........6.32...7.....9...2.7.5.9...8...62.1.....8....7.4...988..........5.9..4.,358764129469321857721589463247153986583946271916278534672415398894632715135897642,23,4.1
58,..423...773......5..2....8..4...1....6....2.3...95....4...7.1....56..8..9......7.,154238697738196425692547381247361958569784213813952764426875139375619842981423576,24,5.3
59,5..2...3........5.726..5..96....94....91......3.4..6.......2974..8.7.1....2......,594268731183794256726315849657829413249136587831457692315682974468973125972541368,25,4.1
60,.67..81.....21.....3....25.3...4.86...8..1...5.2...9.....12.47....9.4..........3.,267358194495217386831469257319742865648591723572683941953126478786934512124875639,25,4.1
61,....97.3....6......69....823...7..5..8..29.6...58.....5...6..2342...1.........7..,854297136213685947769314582342176859187529364695843271571968423428731695936452718,25,4.6
62,.6.81.....7...2..62..4.....19..65.....59............4.....29.73....4..1....3....8,569817324473592186218436759194265837385974261627183945851629473936748512742351698,23,4.5
63,..4.6....13...4..9..69........5.1.23.8.4..6.....8...5.2......7......75..9.......8,794265381135784269826913745469571823582439617371826954253198476618347592947652138,23,4.8
64,..64..7.9....8....9.....32.8.2.............1....7..5.8..8.74.3...7..36..2..6...9.,526431789473289156981567324842156973765398412319742568658974231197823645234615897,24,4.3
65,7......2......278...6..93.55...4.8..6.15...9...71....2.9.38....1..97.............,754836129913452786286719345529647813631528497847193562492385671165974238378261954,25,4.2
66,..5...7.129..7.........269..78...9....93....4....5..6..........6....3.....4.8.15.,485639721296871543713542698378264915569317284142958367827195436651423879934786152,23,4.6
67,46...7..27......4.352....6....1.8.........3....1.25..79..4.2.......9..3.....7.6..,468937512719256843352814769273148956845769321691325487936482175587691234124573698,24,4.4
68,.7.4...8.3..8.62.4...........96....1...28.39..8..5...2..7......64...2..82.....5..,172439685395816274864725913429673851516284397783951462957348126641592738238167549,25,5.5
69,......36..5..31.8....6.9.545.....93...8.....5.6..2...7.154.8....9.......73..1....,981754362456231789273689154527146938148973625369825417615498273892367541734512896,26,4.5
70,2....7.......4.87.54.1.....95.............9..6..5..4.8....9.3...2.4.8..5.96....1.,238967541169245873547183269952874136384621957671539428415796382723418695896352714,24,4.6
71,........2......1....156..7...5..34...734...6...6.2..381..9.6.....71.4....5....8..,739841652562379184841562379285693417973418265416725938128956743397184526654237891,25,4.1
72,....25.76....4.9.2..3....8..........82..9.1..9641..........7...7..21...4.9..6.8..,189325476675841932243679581531782649827496153964153728418937265756218394392564817,25,4.7
73,7...9......27.......4...36.......7..52..6....98....41...684..9.....2...3.3.9.....,758396241362714589194258367643189752521467938987532416276843195419625873835971624,23,4.5
74,.397.8...84....7.....2.....58.4.3.6..7.8....3....25...7..6..4...1....8.........2.,239758614846139752157264938581473269972816543364925187723681495415392876698547321,24,4.3
75,.1..9.7.......1.4.......25.5.....9.4..4.3..7....7....39.218....1..64.....4.5.....,418295736625371849379468251537816924864932175291754683952183467183647592746529318,24,4.2
76,....5.9..3....1......68...5.78......6....41....2..3.6..9.7............471....6..2,826357914359421786741689235978165423635294178412873569294738651563912847187546392,22,4.8
77,...5.1..9457....2.8.....4.......7.8..6.....5.....853.....8.9..7.........73..249..,326541879457398621819672435593467182268913754174285396642839517981756243735124968,24,4.2
78,..........13...86....1...24....4...26.......7.7...398...7......4.697....83...54..,245896713713452869968137524381749652692581347574623981157364298426978135839215476,24,4.7
79,.7.4..3.6......45.....68.27.....2...9.1...6...28..1..3.4697........4....1.7......,872459316369217458415368927734682195951734682628591743246975831583146279197823564,25,4.3
80,...9...82...48.7..2.......39.........7..16..5..4..7..6.1..5..3..3....1....7...5.4,741935682653482719298671453965324871372816945184597326416759238539248167827163594,24,4.9
81,6.......7........3.51.97....3....4..8.2.3..7...79.2..8.2......9....15.2.3.84.....,683241957974586213251397846536178492892634571147952638425763189769815324318429765,25,4.1
82,.8.1..7..........4.46.3......75..3..9..7.2...2......4....2..8.......8.95....15.6.,589124736372659184146837952867541329934762518215983647453296871621378495798415263,23,4.4
83,9.........7..2.....45...1.....1..9...8.56..2....978.3.5.7..4..8.21...6..4......5.,962315874178426395345897162653142987789563421214978536597634218821759643436281759,25,4.7
84,.6..2.9..5....7...1....67.......8.....29.4.3.8..3..4.54........9.18...6.......34.,768523914543197286129486753314258679652974831897361425486735192931842567275619348,24,4.6
85,...2...67.9..4....5....6...3........8..3..9.49...1..7..8....31..57..2...2..4.....,418293567796548231523176498375984126861327954942615873684759312157832649239461785,23,4.3
86,8......2.2.6.4.3...3.15....6.75....4.....7...95..8.....9...51...2..94.5.........8,875936421216748395439152867687519234143267589952483716398675142721894653564321978,25,5.0
87,.1.47............6..2...7.4.7.1...2...6.....9.59.2.61..947.1..5...2.........3...1,615473892748592136932618754473169528126857349859324617394781265581246973267935481,25,4.1
88,.72..5......4...7.....2...3..6....3...8.4.7...9.8...1.4.1.5.......3..4.88...9.5..,372985146689413275514627983146579832238146759795832614461258397957361428823794561,24,4.4
89,.1....3....73....5.8.7..6..2...5.......2....9..4.39..7..1.....39..8...2.7.....59.,512946378467382915389715642296457831173268459854139267621594783945873126738621594,24,4.9
90,.75.......2..6.5..1.....3.785.3.......241...94.1..2...51..........1.5.8.....9..6.,975231846324867591186549327859376214732418659461952738513684972697125483248793165,25,4.3
91,....8..3.9.2.1......59......5.....1673....9......6.3.7..1...8.5...2.96...........,617482539982315764345976182258793416736124958194568327421637895873259641569841273,22,4.2
92,.4......2....153..7..4...5..3...1..68.....1....2..8..7.1..934....32......6.......,345679812629815374781432659534721986876954123192368547217593468453286791968147235,23,4.1
93,........2....57......1..53891...3.6..3..8......42.......2..........6.1.57....269.,591638742823457916476129538918543267237986451654271389162395874389764125745812693,23,4.4
94,71...4..95..7........3...4....2...1.6..541..84...6......4.3.9......283...5.......,712654839543789162986312745875293614639541278421867593264135987197428356358976421,24,4.3
95,.....85...3....92.....7...335.19....46.........24...7.6....4....8.....1..4.3....5,729638541836541927514279683358197264467823159192465378675914832983752416241386795,23,4.5
96,41.........3..2.9...8..67..5......3....3..4...3..75.1.1.....2....47..1...92.5..8.,419537628673842591258916743541269837927381465836475912185693274364728159792154386,25,4.1
97,..9....2615.......6.8.....5.9.3.4...5.......2...68..9.7...45....1.9........1...73,379518426154263987628479135291354768586791342437682591763845219812937654945126873,24,4.2
98,.6..8...5...6..7.22...1.8..5...3...7.....79.4.479.8.2....87.4..1..........8..3..6,769382145814695732253714869592431687381267954647958321925876413136549278478123596,27,4.5
99,.......9....42.1..58.6.....4.89.......95..3..6....7..9.....4..1..3.15..6.7.38....,247153698396428175581679423458931267719562384632847519865294731923715846174386952,25,4.1
100,..3..48........4.5.6..327..57...........4...6..281......9.....73......9..2...95..,153974862297168435468532719574296183981743256632815974849651327315427698726389541,23,4.3
101,5..........6..17........83.9..5.7.......46....1..9.2.....8....6....3...9.214..3..,584273961236981754197654832943527618872146593615398247359812476468735129721469385,22,4.4
102,..1..2...2..5...63685.9.2.44.9......5....7.9..3......6..8.2.6...........1...4.58.,341672859297584163685391274479168325516237498832459716958723641764815932123946587,26,4.3
103,..9.1.3...8..5.....24...9.....8..4.2.3.6...8......9....5.1...96.1....8.3.43.9...5,769214358381957264524386917196835472432671589875429631258143796917562843643798125,26,4.1
104,4.....7..1...7...8.732....1...9....764..8..3.38..5......56.9...2......8.......1.6,468591723152374968973268451521936847649187235387452619815649372296713584734825196,25,4.3
105,......5......4.89.9...8...3.6...42.....2.3.4..2..91..831...9..2.84......2..5.....,832916574751342896946785123563874219198253647427691358315469782684127935279538461,25,4.4
106,..2...........5.7..6...93.....812.3..7.......8..6..92.......5..75...6..99......16,582371694319465872467289351695812437274953168831647925126794583758136249943528716,23,4.3
107,...4..6...1......3..53...7..8.......3..9.5...9..7.2.1......8.2..7....1..2.6....4.,793451682412876953865329471687143295321985764954762318149638527578294136236517849,22,4.8
108,..9.6..27.5....8..34...25......49......6....1..5..8....6..2...9.245..7...8...4...,819465327256731894347982516638149275472653981195278463563827149924516738781394652,25,4.2
109,.....6..958...76......4...21..6.8.7.9.........36.7.2......2...13....14..4.1..9..8,243586719589217643617943852152698374974352186836174295768425931395861427421739568,26,4.9
110,.93.6..5....5.1....2..9...741...8..3.562....19...........3.5.....7....4.2...4.9..,193762854764581239825493617412658793356279481978134526649325178587916342231847965,25,5.2
111,.1..3.........761.9....8..2.5....4..6.......3.9456......29.5.6...178.5.........8.,217634895835297614946158732153829476628471953794563128482915367361782549579346281,25,4.3
112,.1.74.8..3....6.........1..2..8...9.1......2.5.76.2...7.3.5...664...7.........9.3,915743862382196754476528139234875691168439527597612348723951486649387215851264973,25,4.2
113,..7.14......93.....26....1...4.6....6....8.7.7.934...64...87.2.......14...5.....3,357214698841936752926875314584761239632598471719342586463187925298653147175429863,26,5.1
114,.956............191.......6..376..8....4..32...2.8.....58.47...3.9.....2...9..4..,295671834867324519134895276413762985586419327972583641658247193349158762721936458,25,5.1
115,.....34....27...13......7...6...28.43...4..5.5.....2...7..36..2..52.7..9.869.....,791823465842765913653491728967512834328649157514378296479136582135287649286954371,27,5.2
116,.......6...7.....192..7....4.82........43.5........9..3...874...5..2..3.7..6...1.,543912768687354291921876354468295173279431586135768942316587429854129637792643815,23,5.1
117,.6..........8........26.5.7....2..4.95...1..3.7.54...1....1....4.6......2..9...14,563197428729854136148263597681329745954671283372548961895416372416732859237985614,23,5.0
118,3...2..7....9.6...5......1...8...63.6.......9.4...7..2.....81..48...5...2.3.7....,364521978871946253592783416728459631635812749149367582957238164486195327213674895,23,4.6
119,......89.82......146..1........7....2...39..6..75..31........6...5.4....19...2.5.,571463892823957641469218537316874925258139476947526318782395164635741289194682753,24,5.3
120,38.5....1.4...9...19......375..........2..3.........76..1....6..3.7.4.58....2.4..,387546921642139785195872643754693812816257394923418576471385269239764158568921437,24,5.0
121,..5.....327.....869....3.74...9.8.1..9.4.........6...5..7..93..3...2.8..42...1...,845176923273594186916283574634958217592417638781362495157849362369725841428631759,26,4.9
122,..64....11..25.9.........7..4...5.....5..32.......86.3.5......86.3......2...1..9.,726489531134257986589361472347625819865193247912748653451932768693874125278516394,23,4.4
123,.2......4.6.5.8..2...4.98..2.6...35...5..6...3...7......28....7.1.....4.6......1.,823167594964538172157429863276984351485316729391275486542891637719653248638742915,24,5.1
124,47...5.3.2.....8......76.9...5......1....9.45.3.1..9.....28.....9...3.8...8......,479825136263491857851376492925748361187639245634152978346287519792513684518964723,23,5.4
125,49........269....4..14...921....9....38..7.6.....1.3.....26..58..5.....6...8...4.,497152683826973514351486792162349875938527461574618329743261958285794136619835247,26,4.9
126,5...7.261...64......7.1...5.12...5746............2.8...3...79.2...8..6..1........,548973261291645783367218495912386574683754129754129836835467912429831657176592348,25,5.6
127,7...5...3.8..197..1..6......9....5..6.5.9.14.........8....24.6...6...8..21.......,769258413482319756153647289897461532625893147341572698538724961976135824214986375,24,5.1
128,6..5.1....29......5..7..28....1...4.16..5.3....3....6..9..18......2...79..4...8..,648521937729384615531769284985136742162457398473892561297618453856243179314975826,25,4.9
129,...34....1.5..79........8...5.....8.....7.1..8.6..5..76..92..3.4....8.9.........1,968341275145287963273659814751432689394876152826195347617924538432518796589763421,23,4.6
130,...5...82.....19.7.98..35.....6....9.71...4..9.....2..8....9.5.....36....36..5...,617594382523861947498723516285647139371952468964318275842179653759436821136285794,25,4.2
131,..6...1.77.324......8..6...8..3.....1.....37........45...6..7.3....9..58....286..,546839127793241586218576439824357961165984372937162845482615793671493258359728614,25,5.3
132,..1.....9.....84...4.5..18..6..8..1..2..9...85..7.4..........23174..........6....,781643259652918437349572186967285314423196578518734692896451723174329865235867941,23,4.9
133,..4....5.9....3......41......36.7..1.2......687.9..4..2..5...67..7.6.1.9........2,314296758952783614768415293493657821125834976876921435281549367547362189639178542,25,4.1
134,..918.......6.5.4....9...82.9....4.81...64.7..5.7.....5...1......8....256....2...,249183657871625943365947182796251438182364579453798216527819364918436725634572891,25,5.4
135,.8..9..3......46....6....8..74....9....7..2..5...3...16..57....2.7..34.......1..8,485296137739814652126357984374128596891765243562439871648572319217983465953641728,24,4.2
136,.....3...96.1.........8.4.1.8...43....6.37.4..43.9..12..57..2...2......6.....1.9.,851463729964172835372985461289614357516237948743598612195746283428359176637821594,26,4.4
137,.....7....6..5...2.983..5.....2.3..7.1......4..4..8.9...9...4.....5629..2........,532417869461859732798326541985243617317695284624178395859731426143562978276984153,23,5.4
138,...1...9..1......7.8.7..4.....4.2.6...6..57..83.....1.1.........63..7.....9...5.2,657124893314958627982736451791482365246315789835679214128543976563297148479861532,23,4.6
139,.32.6..1.8....43..6...8......3.25............21...3.9...5.7.986.2.....5......942.,432567819871294365659381274783925641594618732216743598345172986928436157167859423,26,4.1
140,....2.7....1...65..7.6...8.4.6.1823.....6.4..7.3.....66.41.3...52..4.............,368521794241987653975634182496718235812365479753492816684153927527849361139276548,26,4.1
141,....8...4...6...2.5..2...9..15.4....9..81.6..76........3.........2....531..9...42,291587364473691528586234791315746289924815637768329415839452176642178953157963842,24,4.5
142,..8...1.797...5...3...6.5..1.....7.8.8.....3.2.9....4.......97...2.91.....724....,568432197974185326321967584146329758785614239239578641413856972852791463697243815,25,4.1
143,..2....1.8.3...2..71..9..8......1.37..96.75.............542..9.3.......6.8.1.....,592784613843516279716392485468251937139647528257839164675428391321975846984163752,24,5.8
144,9.4.21...........9.......28..5...37..1..5.....8.....658..5....6.5...3.....31.7.8.,964821753728435619531976428245698371617352894389714265872549136156283947493167582,24,5.2
145,.61...8...2.....9.5...1...2.37.......5...4...2..5......8...51.6...7..3...13.6...8,961253847328647591574819632137926485859174263246538719482395176695781324713462958,24,4.2
146,.....4.3....8.....1.7....454....9......1.5.76.3....1.....69..2..2...8.9.8..5....7,658914732243857961197263845416789253982135476735426189374691528521378694869542317,24,4.3
147,9.....4....619......8.25.9...5.1.3.......38.4........2....51....91.68...8.3...5..,912837465756194238348625197485912376629573814137486952274351689591268743863749521,25,4.6
148,9.715.2...4.......5....4..7...7.6.91............2.137...36...8...9.8..32.2.......,967158243148372965532964817284736591371895426695241378753629184419587632826413759,25,4.8
149,9........86..2...9..2...74.2..5...64..348......6.....7.4....9......41..6..19.7.3.,975814623864723159132695748218579364753486291496132587347268915529341876681957432,26,5.1
150,8..34........6.3....4..1.2..9...8.7...5.1.8.328...............5.69.....77.29.5.6.,826349751971562348354871629193658472645217893287493516418726935569134287732985164,26,4.3
151,6......9......7.6.137.........7.9.24.....57..8..2..5....84.....94..52..3..3.6....,685124397492537861137698245356789124219345786874216539568473912941852673723961458,25,4.3
152,1..2.69..8.......16..3...4.4.9...........9.......753........5..5....213..8.1..6.2,157246983843597261692318745439621857715839426268475319321764598576982134984153672,24,4.8
153,.....5...32...4..71.8..2..6...9........65.9.........1..7...1...4......23..6.3..8.,967385142325164897148792356684913275712658934539247618873521469491876523256439781,22,4.4
154,8.1.6....3.97..1.......4...........5..4.82.39...9...8.1.8.3...6.5......8..2...7..,841263957369758142275194863986341275714582639523976481198437526457629318632815794,24,4.3
155,.6.3....1...24...78...9..3.......8...81........2.5..64.4.....72.3...9....25..49..,269375481513248697874196235657413829481962753392857164946581372138729546725634918,25,4.4
156,2.....8.44.3.1..2..7......5.2.1..6.....978...9..4....8..26...9.......5.2.9....7..,215739864483516927679824315824153679561978243937462158352687491746391582198245736,25,5.6
157,.4.........1......57..29.3.7..3...64..84..9......1..7.3...9.6.....7.6.9...2..4...,943175286281643759576829431729358164138467925465912873357291648814736592692584317,24,4.4
158,.5......3...71..4...7...29...1358.....4.....16...4....3.6.7....79....5......3...2,458926713269713845137584296921358467584697321673142958346275189792861534815439672,24,4.7
159,......9.5..961.........43..13.....6..6.87....8.5.......8.4.7..2...28...1.52....3.,346728915529613487718954326137542869264879153895361274681437592973285641452196738,25,4.9
160,.....8.62..5.7..........73..12.3.6.......695..6.1......7..54.1.2...6.....9......4,739548162125673849486219735912435687347826951568197423873954216254761398691382574,24,4.4
161,.1.4....3.3...7.......9.1.6.671..3..3.....8.7..4......9...2.6...5.97.........1.25,619482753538617294472593186867159342395264817124738569943825671251976438786341925,25,4.7
162,...1...8.3.2.9...4.9.5..6..8.....7.......2.46.6.75...97..........3..4....1.9.....,647123985352896174198547623831469752579312846264758319725631498983274561416985237,23,4.2
163,..2..1.5..6....7..5..6.2.1...8...4...4...928.9...6.......51...74.6...1...3..4....,372981654861453792594672813618725439745139286923864571289516347456397128137248965,25,4.7
164,34......8..........52.3.7....62...1....75.9...8...1..5...5..24..71.9.......1.....,347625198968417532152839764596283417214756983783941625639578241471392856825164379,23,4.2
165,..91...7.7....8..554....6....382..........7.69.56...1.....9.........4.....73...89,239165478716438295548279631673821954184953726925647813851796342392584167467312589,24,4.4
166,3......5.87.4....6..4.7..2....2...8..3..4......5..3...64.1..9.....6.........54.7.,316982754872415396594376128467291583139548267285763419648127935751639842923854671,23,4.8
167,........6..8...92...4..37..2......6.9.14..3...5...7..1.3.5....91.76...4.....8....,729841536318756924564293718243915867971468352856327491632574189187639245495182673,24,4.2
168,.....634..1...5....4..3.28..9..2375......4.2....59.....5.....7.1.......8973.6....,589276341312845697647931285896123754735684129421597863258319476164752938973468512,26,4.1
169,2...9...1...51.9.....2.3..7...3...8..94....7.3....4..2..9.31....57.8...44........,275698341643517928981243657712359486594862173368174592829431765157986234436725819,25,4.4
170,.168....75.....96.....3.....4.....7.96.....5...154.....9...8...3..4....2.5..9...4,416859327523174968879632541245983176968721453731546289194268735387415692652397814,24,4.7
171,.2.8....7.37..5.......2........9.1...59.1.8...6..8.4.2........3...67..2.4.1......,926841357837965214514723689248396175759412836163587492692158743385674921471239568,23,4.2
172,..6...42...25.17.......3...8......733..1..........926.....85...75....6..2.1......,536978421942561738178243956829654173365127894417839265694785312753412689281396547,23,4.2
173,.9.5....3..53.4.7....9..18..7..1..6..5......4..8.6...............3...6.97....2.4.,697581423815324976342976185974813562156297834238465791481639257523748619769152348,23,4.3
174,....4...9...8..7..8..9...5.1..4.2..6..7...9...3...1...7.9.6..42....1...3.5.......,563147289492856731871923654185492376247638915936571428719365842628714593354289167,23,4.2
175,..2..4.875...1...937..........28.1.......9.4.....538.....84...5..3.......6..3.2..,612394587584716329379528461946287153835169742721453896297841635453672918168935274,24,4.2
176,46.........8....75...1..36...1..2..7......9.2....4....5.2..6...6.729...1.4..8....,465723819138469275729158364851932647374615982296847153512376498687294531943581726,24,4.2
177,...1.7.5.7.....9.........63...5....9.7.2.4.3.3518..4...3..25....427....8......5..,693187254725643981418952763284536179976214835351879426839425617542761398167398542,26,4.1
178,.......4..1......7..68..1..3.....5..5..4.27..1825...3.79....3.....3....5.5..9467.,935721846418963257276845193347189562569432718182576439791658324624317985853294671,27,4.1
179,..5.3..2..1.6....8..3..2.7..7.9.6....247...1.5.............41..1..3..7......8..54,795831426412697538863542971371926845624758319589413267956274183148365792237189654,25,5.1
180,.....74.3......1...96....8.73.4.....8.96......5..3....2...6..5....38...4.6...9..1,528917463374826195196543287732498516849651372651732948283164759917385624465279831,24,4.4
181,.52.....8..79.5....4.3......7..1.5..4.3...9....8...7.....1..8......6..4..2.73..6.,352471698867925413149386257276819534413257986598643721635194872781562349924738165,24,4.4
